# TazUO Holiday Edition - music map
#
# Which music plays where, when the server says it has none.
#
# Converted from the region data of the 1998 Ultima Online Demo server
# (uogolddemo/regions.txt). Values are Origin's, unchanged - one track per
# area, exactly as authored. Nothing here is invented.
#
# Rectangles are applied largest first, so the SMALLEST area covering a spot
# wins. That is the rule the 1998 server used (CBlockManager, 0x0042FD01).
#
# tracks : one or more music indices, comma separated. Indices are the
#          canonical 0-48 set; which FILE each one plays is decided by the
#          Config.txt of whichever music era is selected. To mute or swap a
#          track, edit that Config.txt - not this file.
#
# map    : 0 = Felucca, 1 = Trammel (a copy of Felucca, so it shares the data)
#
# map	x	y	width	height	zmin	zmax	tracks	name
0	5888	8	256	256	-127	127	26	DUNGN_HYTHLOTH
1	5888	8	256	256	-127	127	26	DUNGN_HYTHLOTH
0	5376	8	256	256	-127	127	26	SHAME
1	5376	8	256	256	-127	127	26	SHAME
0	5888	8	256	256	-127	127	26	HYTHLOTH
1	5888	8	256	256	-127	127	26	HYTHLOTH
0	1816	2664	283	231	-127	127	21	CITY_TRINSIC
1	1816	2664	283	231	-127	127	21	CITY_TRINSIC
0	1876	9	321	201	-127	127	27	DARKESTFOREST_3
1	1876	9	321	201	-127	127	27	DARKESTFOREST_3
0	1034	2032	508	127	-127	127	27	FORESTNOTNEARTOWN_0
1	1034	2032	508	127	-127	127	27	FORESTNOTNEARTOWN_0
0	5126	1532	245	261	-127	127	26	DUNGN_TERATHANKEEP
1	5126	1532	245	261	-127	127	26	DUNGN_TERATHANKEEP
0	704	1603	363	176	-127	127	27	FORESTNOTNEARTOWN_2
1	704	1603	363	176	-127	127	27	FORESTNOTNEARTOWN_2
0	1296	2304	246	257	-127	127	27	DARKERFOREST_3
1	1296	2304	246	257	-127	127	27	DARKERFOREST_3
0	1109	121	443	142	-127	127	27	DARKESTFOREST
1	1109	121	443	142	-127	127	27	DARKESTFOREST
0	5121	770	246	248	-127	127	26	DUNGN_DESTARD
1	5121	770	246	248	-127	127	26	DUNGN_DESTARD
0	1154	444	244	249	-127	127	27	FORESTNOTNEARTOWN_4
1	1154	444	244	249	-127	127	27	FORESTNOTNEARTOWN_4
0	5649	134	243	249	-127	127	26	DUNGN_ICE
1	5649	134	243	249	-127	127	26	DUNGN_ICE
0	5383	1794	244	247	-127	127	26	DUNGN_COVETOUS
1	5383	1794	244	247	-127	127	26	DUNGN_COVETOUS
0	910	2561	317	190	-127	127	27	FORESTNOTNEARTOWN_4
1	910	2561	317	190	-127	127	27	FORESTNOTNEARTOWN_4
0	349	1785	279	213	-127	127	32	OCEAN
1	349	1785	279	213	-127	127	32	OCEAN
0	372	1601	331	178	-127	127	27	DARKERFOREST
1	372	1601	331	178	-127	127	27	DARKERFOREST
0	1542	2631	249	234	-127	127	27	FORESTNEARTOWN_TRINSIC
1	1542	2631	249	234	-127	127	27	FORESTNEARTOWN_TRINSIC
0	1570	3314	221	260	-127	127	29	JUNGLE_3
1	1570	3314	221	260	-127	127	29	JUNGLE_3
0	4660	3044	220	260	-127	127	32	OCEAN
1	4660	3044	220	260	-127	127	32	OCEAN
0	5125	525	232	243	-127	127	26	DUNGN_DECEIT
1	5125	525	232	243	-127	127	26	DUNGN_DECEIT
0	5637	1287	245	230	-127	127	26	DUNGN_FIRE
1	5637	1287	245	230	-127	127	26	DUNGN_FIRE
0	657	618	185	304	-127	127	27	FORESTNEARTOWN_YEW
1	657	618	185	304	-127	127	27	FORESTNEARTOWN_YEW
0	3264	496	225	248	-127	127	27	FORESTNOTNEARTOWN_WINDMERE
1	3264	496	225	248	-127	127	27	FORESTNOTNEARTOWN_WINDMERE
0	5130	1807	233	238	-127	127	26	DUNGN_ORCCAVES
1	5130	1807	233	238	-127	127	26	DUNGN_ORCCAVES
0	2688	380	205	268	-127	127	27	FORESTNEARTOWN_VESPER
1	2688	380	205	268	-127	127	27	FORESTNEARTOWN_VESPER
0	5127	1287	242	225	-127	127	26	DUNGN_ORCCAVES
1	5127	1287	242	225	-127	127	26	DUNGN_ORCCAVES
0	2387	1030	214	250	-127	127	27	DARKFOREST_5
1	2387	1030	214	250	-127	127	27	DARKFOREST_5
0	1542	2239	263	202	-127	127	27	FORESTNOTNEARTOWN_2
1	1542	2239	263	202	-127	127	27	FORESTNOTNEARTOWN_2
0	5383	1287	242	218	-127	127	26	DUNGN_KHALDUN
1	5383	1287	242	218	-127	127	26	DUNGN_KHALDUN
0	1791	3156	332	158	-127	127	29	JUNGLE_2
1	1791	3156	332	158	-127	127	29	JUNGLE_2
0	1542	2032	249	207	-127	127	27	FORESTNOTNEARTOWN_1
1	1542	2032	249	207	-127	127	27	FORESTNOTNEARTOWN_1
0	1154	263	284	181	-127	127	27	DARKERFOREST_2
1	1154	263	284	181	-127	127	27	DARKERFOREST_2
0	1552	0	324	155	-127	127	32	OCEAN
1	1552	0	324	155	-127	127	32	OCEAN
0	1791	3314	239	209	-127	127	29	JUNGLE_4
1	1791	3314	239	209	-127	127	29	JUNGLE_4
0	3632	1168	192	256	-127	127	45	CITY_NUJELM
1	3632	1168	192	256	-127	127	45	CITY_NUJELM
0	2688	204	278	176	-127	127	27	DARKFOREST_WINDMERE_2
1	2688	204	278	176	-127	127	27	DARKFOREST_WINDMERE_2
0	699	922	143	340	-127	127	27	FORESTNEARTOWN_YEW
1	699	922	143	340	-127	127	27	FORESTNEARTOWN_YEW
0	3066	380	419	116	-127	127	27	DARKFOREST_WINDMERE_1
1	3066	380	419	116	-127	127	27	DARKFOREST_WINDMERE_1
0	4123	3649	328	146	-127	127	29	JUNGLE_AVATAR
1	4123	3649	328	146	-127	127	29	JUNGLE_AVATAR
0	3064	182	238	198	-127	127	27	DARKERFOREST_WINDMERE
1	3064	182	238	198	-127	127	27	DARKERFOREST_WINDMERE
0	2036	470	161	292	-127	127	27	DARKESTFOREST_1
1	2036	470	161	292	-127	127	27	DARKESTFOREST_1
0	1082	10	470	100	-127	127	32	OCEAN
1	1082	10	470	100	-127	127	32	OCEAN
0	3302	182	228	198	-127	127	27	DARKESTFOREST_WINDMERE
1	3302	182	228	198	-127	127	27	DARKESTFOREST_WINDMERE
0	2197	263	90	499	-127	127	31	PLAINS
1	2197	263	90	499	-127	127	31	PLAINS
0	1154	693	195	230	-127	127	27	DARKERFOREST_3
1	1154	693	195	230	-127	127	27	DARKERFOREST_3
0	5640	3100	210	210	-127	127	28	CITY_PAPUA
1	5640	3100	210	210	-127	127	28	CITY_PAPUA
0	2035	762	252	174	-127	127	31	PLAINS
1	2035	762	252	174	-127	127	31	PLAINS
0	1542	2441	230	190	-127	127	27	FORESTNOTNEARTOWN_3
1	1542	2441	230	190	-127	127	27	FORESTNOTNEARTOWN_3
0	1812	977	141	303	-127	127	27	FORESTNOTNEARTOWN_2
1	1812	977	141	303	-127	127	27	FORESTNOTNEARTOWN_2
0	1258	2159	284	145	-127	127	27	DARKFOREST_5
1	1258	2159	284	145	-127	127	27	DARKFOREST_5
0	5632	512	256	160	-127	127	26	DUNGN_WRONG
1	5632	512	256	160	-127	127	26	DUNGN_WRONG
0	5632	512	256	160	-127	127	26	WRONG
1	5632	512	256	160	-127	127	26	WRONG
0	1791	2050	214	189	-127	127	31	PLAINS_1
1	1791	2050	214	189	-127	127	31	PLAINS_1
0	2868	3324	205	195	-127	127	19	CITY_SERPHOLD
1	2868	3324	205	195	-127	127	19	CITY_SERPHOLD
0	1293	1020	159	241	-127	127	31	PLAINS_9
1	1293	1020	159	241	-127	127	31	PLAINS_9
0	3014	496	250	152	-127	127	27	FORESTNEARTOWN_WINDMERE
1	3014	496	250	152	-127	127	27	FORESTNEARTOWN_WINDMERE
0	2688	648	128	296	-127	127	27	FORESTNEARTOWN_VESPER
1	2688	648	128	296	-127	127	27	FORESTNEARTOWN_VESPER
0	1950	2239	215	176	-127	127	33	SWAMP_1
1	1950	2239	215	176	-127	127	33	SWAMP_1
0	2576	2032	112	314	-127	127	32	OCEAN
1	2576	2032	112	314	-127	127	32	OCEAN
0	3064	648	200	174	-127	127	27	FORESTNEARTOWN_WINDMERE
1	3064	648	200	174	-127	127	27	FORESTNEARTOWN_WINDMERE
0	4555	3349	175	196	-127	127	29	JUNGLE_AVATAR
1	4555	3349	175	196	-127	127	29	JUNGLE_AVATAR
0	4436	3806	247	137	-127	127	29	JUNGLE_AVATAR
1	4436	3806	247	137	-127	127	29	JUNGLE_AVATAR
0	2005	2050	208	162	-127	127	27	FORESTNOTNEARTOWN_HORSESHOE
1	2005	2050	208	162	-127	127	27	FORESTNOTNEARTOWN_HORSESHOE
0	2382	3866	172	192	-127	127	29	JUNGLE_VALOR
1	2382	3866	172	192	-127	127	29	JUNGLE_VALOR
0	5376	516	256	128	-127	127	26	DUNGN_DESPISE
1	5376	516	256	128	-127	127	26	DUNGN_DESPISE
0	5376	644	256	128	-127	127	26	DUNGN_DESPISE
1	5376	644	256	128	-127	127	26	DUNGN_DESPISE
0	5376	772	128	256	-127	127	26	DUNGN_DESPISE
1	5376	772	128	256	-127	127	26	DUNGN_DESPISE
0	5504	772	128	256	-127	127	26	DUNGN_DESPISE
1	5504	772	128	256	-127	127	26	DUNGN_DESPISE
0	5632	8	256	128	-127	127	26	DUNGN_SHAME
1	5632	8	256	128	-127	127	26	DUNGN_SHAME
0	5376	516	256	128	-127	127	26	DESPISE
1	5376	516	256	128	-127	127	26	DESPISE
0	5376	644	256	128	-127	127	26	DESPISE
1	5376	644	256	128	-127	127	26	DESPISE
0	5376	772	128	256	-127	127	26	DESPISE
1	5376	772	128	256	-127	127	26	DESPISE
0	5504	772	128	256	-127	127	26	DESPISE
1	5504	772	128	256	-127	127	26	DESPISE
0	5632	8	256	128	-127	127	26	SHAME
1	5632	8	256	128	-127	127	26	SHAME
0	1047	3365	164	195	-127	127	29	JUNGLE_JHELOM
1	1047	3365	164	195	-127	127	29	JUNGLE_JHELOM
0	2412	367	133	239	-127	127	16	CITY_MINOC
1	2412	367	133	239	-127	127	16	CITY_MINOC
0	2966	60	98	320	-127	127	31	PLAINS_WINDMERE
1	2966	60	98	320	-127	127	31	PLAINS_WINDMERE
0	1452	848	100	311	-127	127	27	DARKERFOREST_4
1	1452	848	100	311	-127	127	27	DARKERFOREST_4
0	4757	3487	80	374	-127	127	29	JUNGLE_AVATAR
1	4757	3487	80	374	-127	127	29	JUNGLE_AVATAR
0	1805	2239	145	202	-127	127	33	SWAMP_1
1	1805	2239	145	202	-127	127	33	SWAMP_1
0	4366	3077	215	135	-127	127	29	JUNGLE_AVATAR
1	4366	3077	215	135	-127	127	29	JUNGLE_AVATAR
0	1815	1280	226	128	-127	127	27	FORESTNOTNEARTOWN_1
1	1815	1280	226	128	-127	127	27	FORESTNOTNEARTOWN_1
0	3652	2094	160	180	-127	127	15	CITY_MAGINCIA
1	3652	2094	160	180	-127	127	15	CITY_MAGINCIA
0	1953	1073	139	207	-127	127	31	PLAINS
1	1953	1073	139	207	-127	127	31	PLAINS
0	538	2107	150	190	-127	127	20	CITY_SKARA_BRAE
1	538	2107	150	190	-127	127	20	CITY_SKARA_BRAE
0	1772	2441	145	190	-127	127	31	PLAINS_2
1	1772	2441	145	190	-127	127	31	PLAINS_2
0	4402	3212	244	112	-127	127	29	JUNGLE_AVATAR
1	4402	3212	244	112	-127	127	29	JUNGLE_AVATAR
0	2812	28	154	176	-127	127	27	DARKFOREST_WINDMERE_2
1	2812	28	154	176	-127	127	27	DARKFOREST_WINDMERE_2
0	2893	380	121	218	-127	127	27	FORESTNEARTOWN_WINDMERE
1	2893	380	121	218	-127	127	27	FORESTNEARTOWN_WINDMERE
0	3590	2460	117	225	-5	100	17	CITY_OCLLO
1	3590	2460	117	225	-5	100	17	CITY_OCLLO
0	4638	3546	119	216	-127	127	29	JUNGLE_AVATAR
1	4638	3546	119	216	-127	127	29	JUNGLE_AVATAR
0	1080	2919	190	134	-127	127	33	SWAMP_2
1	1080	2919	190	134	-127	127	33	SWAMP_2
0	2198	10	115	216	-127	127	32	OCEAN
1	2198	10	115	216	-127	127	32	OCEAN
0	4452	3546	103	238	-127	127	29	JUNGLE_AVATAR
1	4452	3546	103	238	-127	127	29	JUNGLE_AVATAR
0	1349	728	203	120	-127	127	27	FORESTNOTNEARTOWN_2
1	1349	728	203	120	-127	127	27	FORESTNOTNEARTOWN_2
0	1997	1917	210	115	-127	127	27	FORESTNEARTOWN_OCARINA
1	1997	1917	210	115	-127	127	27	FORESTNEARTOWN_OCARINA
0	1094	2751	133	168	-127	127	33	SWAMP_2
1	1094	2751	133	168	-127	127	33	SWAMP_2
0	2601	1030	87	250	-127	127	27	FORESTNEARTOWN_VESPER
1	2601	1030	87	250	-127	127	27	FORESTNEARTOWN_VESPER
0	4374	3414	180	118	-127	127	29	JUNGLE_AVATAR
1	4374	3414	180	118	-127	127	29	JUNGLE_AVATAR
0	4367	1050	142	145	0	127	48	CITY_MOONGLOW
1	4367	1050	142	145	0	127	48	CITY_MOONGLOW
0	1923	1408	118	164	-127	127	27	FORESTNOTNEARTOWN_1
1	1923	1408	118	164	-127	127	27	FORESTNOTNEARTOWN_1
0	5890	1285	149	129	-127	127	26	DUNGN_TRINSICPASSAGE
1	5890	1285	149	129	-127	127	26	DUNGN_TRINSICPASSAGE
0	5150	3950	160	120	-127	127	28	CITY_DELUCIA
1	5150	3950	160	120	-127	127	28	CITY_DELUCIA
0	1953	936	139	137	-127	127	33	SWAMP
1	1953	936	139	137	-127	127	33	SWAMP
0	2302	3372	110	172	-127	127	29	JUNGLE_BALD
1	2302	3372	110	172	-127	127	29	JUNGLE_BALD
0	2688	2057	88	210	-127	127	11	CITY_BUCDEN
1	2688	2057	88	210	-127	127	11	CITY_BUCDEN
0	1939	215	134	137	-127	127	30	HOUSING_NO_WRONG
1	1939	215	134	137	-127	127	30	HOUSING_NO_WRONG
0	2092	936	195	94	-127	127	31	PLAINS
1	2092	936	195	94	-127	127	31	PLAINS
0	2688	1001	128	139	-127	127	27	FORESTNEARTOWN_VESPER
1	2688	1001	128	139	-127	127	27	FORESTNEARTOWN_VESPER
0	1457	544	95	184	-127	127	31	PLAINS
1	1457	544	95	184	-127	127	31	PLAINS
0	2098	3876	118	148	-127	127	29	JUNGLE_AMOEBA
1	2098	3876	118	148	-127	127	29	JUNGLE_AMOEBA
0	1349	848	103	161	-127	127	23	NONE_WIND
1	1349	848	103	161	-127	127	23	NONE_WIND
0	1812	801	223	74	-127	127	31	DESERT
1	1812	801	223	74	-127	127	31	DESERT
0	2612	2057	76	210	-127	127	11	CITY_BUCDEN
1	2612	2057	76	210	-127	127	11	CITY_BUCDEN
0	2436	3534	121	131	-127	127	29	JUNGLE_MARBLE
1	2436	3534	121	131	-127	127	29	JUNGLE_MARBLE
0	1296	1560	112	136	30	90	13	LBCASTLE_BRITAIN
1	1296	1560	112	136	30	90	13	LBCASTLE_BRITAIN
0	2766	2212	114	133	0	127	29	JUNGLE_BUCDEN_2
1	2766	2212	114	133	0	127	29	JUNGLE_BUCDEN_2
0	1031	3084	102	142	-127	127	27	FORESTNOTNEARTOWN_DRAGON
1	1031	3084	102	142	-127	127	27	FORESTNOTNEARTOWN_DRAGON
0	2691	1935	111	125	0	127	29	JUNGLE_BUCDEN_2
1	2691	1935	111	125	0	127	29	JUNGLE_BUCDEN_2
0	5168	3971	136	102	-127	127	28	CITY_DELUCIA
1	5168	3971	136	102	-127	127	28	CITY_DELUCIA
0	1641	1929	132	103	-127	127	27	FORESTNEARTOWN_EIFFEL
1	1641	1929	132	103	-127	127	27	FORESTNEARTOWN_EIFFEL
0	2765	3434	103	128	-127	127	29	JUNGLE_ISLE_OF_DEEDS
1	2765	3434	103	128	-127	127	29	JUNGLE_ISLE_OF_DEEDS
0	2099	2655	62	183	-127	127	31	PLAINS_BARRIER
1	2099	2655	62	183	-127	127	31	PLAINS_BARRIER
0	4556	3635	82	133	-127	127	29	JUNGLE_AVATAR
1	4556	3635	82	133	-127	127	29	JUNGLE_AVATAR
0	3695	2558	65	153	-5	100	17	CITY_OCLLO
1	3695	2558	65	153	-5	100	17	CITY_OCLLO
0	2918	2120	70	136	-127	127	27	FORESTNEARTOWN_SKULL
1	2918	2120	70	136	-127	127	27	FORESTNEARTOWN_SKULL
0	3528	2098	97	96	-127	127	29	JUNGLE_MAGINCIA
1	3528	2098	97	96	-127	127	29	JUNGLE_MAGINCIA
0	430	2032	79	94	-127	127	27	FORESTNEARTOWN_IVERS
1	430	2032	79	94	-127	127	27	FORESTNEARTOWN_IVERS
0	2200	1160	86	86	-127	127	47	CITY_COVE
1	2200	1160	86	86	-127	127	47	CITY_COVE
0	1813	875	207	30	-127	127	31	DESERT
1	1813	875	207	30	-127	127	31	DESERT
0	506	955	83	69	-127	127	24	CITY_YEW
1	506	955	83	69	-127	127	24	CITY_YEW
0	1813	905	172	31	-127	127	31	DESERT
1	1813	905	172	31	-127	127	31	DESERT
0	2967	3566	79	62	-127	127	29	JUNGLE_ISLE_OF_DEEDS
1	2967	3566	79	62	-127	127	29	JUNGLE_ISLE_OF_DEEDS
0	1813	936	140	34	-127	127	31	DESERT
1	1813	936	140	34	-127	127	31	DESERT
0	5213	24	64	68	-127	127	27	WINDFOREST_WIND
1	5213	24	64	68	-127	127	27	WINDFOREST_WIND
0	2605	2267	76	57	0	127	29	JUNGLE_BUCDEN_1
1	2605	2267	76	57	0	127	29	JUNGLE_BUCDEN_1
0	1297	923	42	83	-127	127	31	PLAINS_4
1	1297	923	42	83	-127	127	31	PLAINS_4
0	2784	2095	65	52	0	127	29	JUNGLE_BUCDEN_2
1	2784	2095	65	52	0	127	29	JUNGLE_BUCDEN_2
0	3649	2256	54	47	-127	127	15	CITY_MAGINCIA
1	3649	2256	54	47	-127	127	15	CITY_MAGINCIA
0	1521	1411	22	59	0	65	44	BLACKTHORN_BRITAIN
1	1521	1411	22	59	0	65	44	BLACKTHORN_BRITAIN
0	1507	1421	14	35	0	25	44	BLACKTHORN_BRITAIN
1	1507	1421	14	35	0	25	44	BLACKTHORN_BRITAIN
0	552	2168	16	24	-127	127	34	TAVERN_SKARA_BRAE
1	552	2168	16	24	-127	127	34	TAVERN_SKARA_BRAE
0	3728	1328	24	16	0	19	34	TAVERN_NUJELM_3
1	3728	1328	24	16	0	19	34	TAVERN_NUJELM_3
0	2892	900	16	20	-127	127	34	TAVERN_VESPER_1
1	2892	900	16	20	-127	127	34	TAVERN_VESPER_1
0	1923	2786	12	22	-127	127	34	TAVERN_TRINSIC_1
1	1923	2786	12	22	-127	127	34	TAVERN_TRINSIC_1
0	1544	1760	16	16	10	30	34	TAVERN_BRITAIN_4
1	1544	1760	16	16	10	30	34	TAVERN_BRITAIN_4
0	1432	3768	32	8	-20	127	34	TAVERN_JHELOM
1	1432	3768	32	8	-20	127	34	TAVERN_JHELOM
0	3760	1220	16	16	-127	127	34	TAVERN_NUJELM_1
1	3760	1220	16	16	-127	127	34	TAVERN_NUJELM_1
0	3728	1248	16	16	-127	127	34	TAVERN_NUJELM_2
1	3728	1248	16	16	-127	127	34	TAVERN_NUJELM_2
0	3720	2216	16	16	-127	127	34	TAVERN_MAGINCIA
1	3720	2216	16	16	-127	127	34	TAVERN_MAGINCIA
0	3760	1216	11	23	0	19	34	TAVERN_NUJELM_1
1	3760	1216	11	23	0	19	34	TAVERN_NUJELM_1
0	1424	1712	8	24	20	40	34	TAVERN_BRITAIN_2
1	1424	1712	8	24	20	40	34	TAVERN_BRITAIN_2
0	1494	1676	8	24	20	40	34	TAVERN_BRITAIN_1
1	1494	1676	8	24	20	40	34	TAVERN_BRITAIN_1
0	1608	1584	24	8	0	20	34	TAVERN_BRITAIN_3
1	1608	1584	24	8	0	20	34	TAVERN_BRITAIN_3
0	2664	2232	24	8	-127	127	34	TAVERN_BUCDEN
1	2664	2232	24	8	-127	127	34	TAVERN_BUCDEN
0	1440	3776	24	8	-20	127	34	TAVERN_JHELOM
1	1440	3776	24	8	-20	127	34	TAVERN_JHELOM
0	3760	1224	24	8	-127	127	34	TAVERN_NUJELM_1
1	3760	1224	24	8	-127	127	34	TAVERN_NUJELM_1
